"country_short","group","name","url","country","image","group_short","role","party","email"
"fr","Group of the Alliance of Liberals and Democrats for Europe","Corinne Lepage","http://www.europarl.europa.eu/meps/en/97076/CORINNE_LEPAGE.html","France","http://www.europarl.europa.eu/mepphoto/97076.jpg","aldeadle","Substitute","Citoyenneté Action Participation pour le 21ème siècle","corinne.lepage@europarl.europa.eu"
"ro","Group of the European People's Party (Christian Democrats)","Marian-Jean Marinescu","http://www.europarl.europa.eu/meps/en/33982/MARIAN-JEAN_MARINESCU.html","Romania","http://www.europarl.europa.eu/mepphoto/33982.jpg","epp","Substitute","Partidul Democrat-Liberal","marian-jean.marinescu@europarl.europa.eu"
"si","Group of the European People's Party (Christian Democrats)","Zofija Mazej Kukovič","http://www.europarl.europa.eu/meps/en/39916/ZOFIJA_MAZEJ KUKOVIC.html","Slovenia","http://www.europarl.europa.eu/mepphoto/39916.jpg","epp","Substitute","Slovenska demokratska stranka","zofija.mazejkukovic@europarl.europa.eu "
"sk","Group of the European People's Party (Christian Democrats)","Alajos Mészáros","http://www.europarl.europa.eu/meps/en/96652/ALAJOS_MESZAROS.html","Slovakia","http://www.europarl.europa.eu/mepphoto/96652.jpg","epp","Substitute","Strana mad'arskej komunity- Magyar Közösség Pártja","alajos.meszaros@europarl.europa.eu"
"lv","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Alexander Mirsky","http://www.europarl.europa.eu/meps/en/96999/ALEXANDER_MIRSKY.html","Latvia","http://www.europarl.europa.eu/mepphoto/96999.jpg","sd","Substitute","Politiskā Partija ""Alternative""","alexander.mirsky@europarl.europa.eu"
"it","Group of the European People's Party (Christian Democrats)","Tiziano Motti","http://www.europarl.europa.eu/meps/en/96760/TIZIANO_MOTTI.html","Italy","http://www.europarl.europa.eu/mepphoto/96760.jpg","epp","Substitute","Unione dei Democratici cristiani e dei Democratici di Centro","tiziano.motti@europarl.europa.eu"
"nl","Group of the European People's Party (Christian Democrats)","Lambert Van Nistelrooij","http://www.europarl.europa.eu/meps/en/28165/LAMBERT_VAN NISTELROOIJ.html","Netherlands","http://www.europarl.europa.eu/mepphoto/28165.jpg","epp","Substitute","Christen Democratisch Appèl","lambert.vannistelrooij@europarl.europa.eu"
"bg","Group of the Alliance of Liberals and Democrats for Europe","Vladko Todorov Panayotov","http://www.europarl.europa.eu/meps/en/38602/VLADKO TODOROV_PANAYOTOV.html","Bulgaria","http://www.europarl.europa.eu/mepphoto/38602.jpg","aldeadle","Substitute","Movement for Rights and Freedoms","vladkotodorov.panayotov@europarl.europa.eu"
"de","Group of the European People's Party (Christian Democrats)","Markus Pieper","http://www.europarl.europa.eu/meps/en/28224/MARKUS_PIEPER.html","Germany","http://www.europarl.europa.eu/mepphoto/28224.jpg","epp","Substitute","Christlich Demokratische Union Deutschlands","markus.pieper@europarl.europa.eu"
"it","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Mario Pirillo","http://www.europarl.europa.eu/meps/en/96890/MARIO_PIRILLO.html","Italy","http://www.europarl.europa.eu/mepphoto/96890.jpg","sd","Substitute","Partito Democratico","mario.pirillo@europarl.europa.eu"
"cz","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Pavel Poc","http://www.europarl.europa.eu/meps/en/96715/PAVEL_POC.html","Czech Republic","http://www.europarl.europa.eu/mepphoto/96715.jpg","sd","Substitute","Česká strana sociálně demokratická","pavel.poc@europarl.europa.eu"
"fr","Group of the European People's Party (Christian Democrats)","Franck Proust","http://www.europarl.europa.eu/meps/en/108080/FRANCK_PROUST.html","France","http://www.europarl.europa.eu/mepphoto/108080.jpg","epp","Substitute","Union pour un Mouvement Populaire","franck.proust@europarl.europa.eu"
"it","Europe of freedom and democracy Group","Fiorello Provera","http://www.europarl.europa.eu/meps/en/96994/FIORELLO_PROVERA.html","Italy","http://www.europarl.europa.eu/mepphoto/96994.jpg","efd","Substitute","Lega Nord","fiorello.provera@europarl.europa.eu"
"be","Group of the Alliance of Liberals and Democrats for Europe","Frédérique Ries","http://www.europarl.europa.eu/meps/en/4253/FREDERIQUE_RIES.html","Belgium","http://www.europarl.europa.eu/mepphoto/4253.jpg","aldeadle","Substitute","Mouvement Réformateur","frederique.ries@europarl.europa.eu"
"lt","Group of the European People's Party (Christian Democrats)","Algirdas Saudargas","http://www.europarl.europa.eu/meps/en/96696/ALGIRDAS_SAUDARGAS.html","Lithuania","http://www.europarl.europa.eu/mepphoto/96696.jpg","epp","Substitute","Tėvynės sąjunga - Lietuvos krikščionys demokratai","algirdas.saudargas@europarl.europa.eu"
"gb","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Peter Skinner","http://www.europarl.europa.eu/meps/en/2081/PETER_SKINNER.html","United Kingdom","http://www.europarl.europa.eu/mepphoto/2081.jpg","sd","Substitute","Labour Party","peter.skinner@europarl.europa.eu"
"gb","Group of the Greens/European Free Alliance","Alyn Smith","http://www.europarl.europa.eu/meps/en/28508/ALYN_SMITH.html","United Kingdom","http://www.europarl.europa.eu/mepphoto/28508.jpg","greensefa","Substitute","Scottish National Party","alyn.smith@europarl.europa.eu"
"nl","Non-attached Members","Laurence J.A.J. Stassen","http://www.europarl.europa.eu/meps/en/96905/LAURENCE J.A.J._STASSEN.html","Netherlands","http://www.europarl.europa.eu/mepphoto/96905.jpg","ni","Substitute","Partij voor de Vrijheid","laurence.stassen@europarl.europa.eu"
"fi","Group of the Alliance of Liberals and Democrats for Europe","Hannu Takkula","http://www.europarl.europa.eu/meps/en/28316/HANNU_TAKKULA.html","Finland","http://www.europarl.europa.eu/mepphoto/28316.jpg","aldeadle","Substitute","Suomen Keskusta","hannu.takkula@europarl.europa.eu"
"ro","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Silvia-Adriana Ţicău","http://www.europarl.europa.eu/meps/en/36281/SILVIA-ADRIANA_TICAU.html","Romania","http://www.europarl.europa.eu/mepphoto/36281.jpg","sd","Substitute","Partidul Social Democrat","silviaadriana.ticau@europarl.europa.eu"
"fr","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Henri Weber","http://www.europarl.europa.eu/meps/en/2319/HENRI_WEBER.html","France","http://www.europarl.europa.eu/mepphoto/2319.jpg","sd","Substitute","Parti socialiste","henri.weber@europarl.europa.eu"
"de","Group of the European People's Party (Christian Democrats)","Hermann Winkler","http://www.europarl.europa.eu/meps/en/96764/HERMANN_WINKLER.html","Germany","http://www.europarl.europa.eu/mepphoto/96764.jpg","epp","Substitute","Christlich Demokratische Union Deutschlands","hermann.winkler@europarl.europa.eu"
"pt","Confederal Group of the European United Left - Nordic Green Left","Inês Cristina Zuber","http://www.europarl.europa.eu/meps/en/111589/INES CRISTINA_ZUBER.html","Portugal","http://www.europarl.europa.eu/mepphoto/111589.jpg","guengl","Substitute","Partido Comunista Português","ines.zuber@europarl.europa.eu"

